HW,output,Cin,latency
224,7,993,12.952
224,7,1023,12.564
224,6,3,0.101
224,6,33,0.457
224,6,63,0.742
224,6,93,1.218
224,6,123,1.593
224,6,153,2.146
224,6,183,2.632
224,6,213,2.873
224,6,243,3.049
224,6,273,3.271
224,6,303,3.662
224,6,333,4.082
224,6,363,4.415
224,6,393,4.799
224,6,423,4.929
224,6,453,5.529
224,6,483,5.87
224,6,513,6.099
224,6,543,6.389
224,6,573,6.897
224,6,603,7.06
224,6,633,7.443
224,6,663,7.938
224,6,693,9.367
224,6,723,10.455
224,6,753,9.895
224,6,783,10.043
224,6,813,10.335
224,6,843,10.905
224,6,873,11.347
224,6,903,11.514
224,6,933,12.792
224,6,963,12.452
224,6,993,12.597
224,6,1023,12.882
224,1,3,0.085
224,1,33,0.145
224,1,63,0.233
224,1,93,0.403
224,1,123,0.543
224,1,153,0.677
224,1,183,0.798
224,1,213,0.925
224,1,243,1.061
224,1,273,1.239
224,1,303,1.295
224,1,333,1.376
224,1,363,1.511
224,1,393,1.605
224,1,423,1.73
224,1,453,1.827
224,1,483,1.933
224,1,513,2.058
224,1,543,2.177
224,1,573,2.264
224,1,603,2.391
224,1,633,2.492
224,1,663,2.582
224,1,693,3.826
224,1,723,3.566
224,1,753,3.68
224,1,783,3.926
224,1,813,3.973
224,1,843,4.12
224,1,873,4.271
224,1,903,4.243
224,1,933,4.46
224,1,963,4.711
224,1,993,4.798
224,1,1023,4.923
112,56,3,0.061
112,56,33,0.145
112,56,63,0.219
112,56,93,0.291
112,56,123,0.388
112,56,153,0.554
112,56,183,0.54
112,56,213,0.618
112,56,243,0.712
112,56,273,0.785
112,56,303,0.849
112,56,333,0.935
112,56,363,1.014
112,56,393,1.095
112,56,423,1.16
112,56,453,1.219
112,56,483,1.419
112,56,513,1.505
112,56,543,1.495
112,56,573,1.527
112,56,603,1.614
112,56,633,1.697
112,56,663,1.768
112,56,693,1.484
112,56,723,1.819
112,56,753,1.897
112,56,783,1.934
112,56,813,1.7
112,56,843,2.094
112,56,873,2.159
112,56,903,2.239
112,56,933,2.308
112,56,963,2.375
112,56,993,2.439
112,56,1023,2.119
112,32,3,0.053
112,32,33,0.195
112,32,63,0.254
112,32,93,0.288
112,32,123,0.409
112,32,153,0.502
112,32,183,0.471
112,32,213,0.555
112,32,243,0.598
112,32,273,0.666
112,32,303,0.73
112,32,333,0.788
112,32,363,0.86
112,32,393,0.999
112,32,423,1.083
112,32,453,1.128
112,32,483,1.22
112,32,513,1.28
112,32,543,1.333
112,32,573,1.395
112,32,603,1.468
112,32,633,1.532
112,32,663,1.593
112,32,693,1.658
112,32,723,1.725
112,32,753,1.769
112,32,783,1.855
112,32,813,1.926
112,32,843,1.953
112,32,873,2.028
112,32,903,2.103
112,32,933,2.247
112,32,963,2.237
112,32,993,2.304
112,32,1023,2.346
112,28,3,0.054
112,28,33,0.188
112,28,63,0.259
112,28,93,0.323
112,28,123,0.341
112,28,153,0.438
112,28,183,0.385
112,28,213,0.442
112,28,243,0.494
112,28,273,0.561
112,28,303,0.591
112,28,333,0.659
112,28,363,0.713
112,28,393,0.755
112,28,423,0.792
112,28,453,0.845
112,28,483,0.903
112,28,513,1.03
112,28,543,1.069
112,28,573,1.127
112,28,603,1.172
112,28,633,1.258
112,28,663,1.297
112,28,693,1.327
112,28,723,1.386
112,28,753,1.434
112,28,783,1.484
112,28,813,1.563
112,28,843,1.578
112,28,873,1.638
112,28,903,1.684
112,28,933,1.736
112,28,963,1.758
112,28,993,1.811
112,28,1023,1.85
112,27,3,0.052
112,27,33,0.185
112,27,63,0.268
112,27,93,0.339
112,27,123,0.457
112,27,153,0.55
112,27,183,0.532
112,27,213,0.61
112,27,243,0.688
112,27,273,0.791
112,27,303,0.844
112,27,333,0.933
112,27,363,1.012
112,27,393,1.104
112,27,423,1.15
112,27,453,1.229
112,27,483,1.289
112,27,513,1.391
112,27,543,1.481
112,27,573,1.575
112,27,603,1.661
112,27,633,1.773
112,27,663,1.791
112,27,693,1.894
112,27,723,1.963
112,27,753,2.011
112,27,783,2.144
112,27,813,2.178
112,27,843,2.258
112,27,873,2.305
112,27,903,2.387
112,27,933,2.464
112,27,963,2.516
112,27,993,2.646
112,27,1023,2.69
112,14,3,0.053
112,14,33,0.11
112,14,63,0.28
112,14,93,0.263
112,14,123,0.375
112,14,153,0.429
112,14,183,0.379
112,14,213,0.429
112,14,243,0.49
112,14,273,0.54
112,14,303,0.601
112,14,333,0.638
112,14,363,0.687
112,14,393,0.748
112,14,423,0.875
112,14,453,0.974
112,14,483,1.023
112,14,513,0.98
112,14,543,0.995
112,14,573,1.045
112,14,603,1.102
112,14,633,1.26
112,14,663,1.22
112,14,693,1.232
112,14,723,1.43
112,14,753,1.403
112,14,783,1.378
112,14,813,1.447
112,14,843,1.484
112,14,873,1.527
112,14,903,1.57
112,14,933,1.621
112,14,963,1.695
112,14,993,1.733
112,14,1023,1.79
112,13,3,0.049
112,13,33,0.143
112,13,63,0.244
112,13,93,0.31
112,13,123,0.388
112,13,153,0.544
112,13,183,0.493
112,13,213,0.565
112,13,243,0.632
112,13,273,0.712
112,13,303,0.767
112,13,333,0.849
112,13,363,0.927
112,13,393,0.996
112,13,423,1.058
112,13,453,1.134
112,13,483,1.177
112,13,513,1.321
112,13,543,1.317
112,13,573,1.418
112,13,603,1.484
112,13,633,1.527
112,13,663,1.574
112,13,693,1.638
112,13,723,1.721
112,13,753,1.793
112,13,783,1.836
112,13,813,1.915
112,13,843,2.031
112,13,873,2.089
112,13,903,2.105
112,13,933,2.176
112,13,963,2.237
112,13,993,2.305
112,13,1023,2.385
112,8,3,0.05
112,8,33,0.131
112,8,63,0.186
112,8,93,0.246
112,8,123,0.313
112,8,153,0.483
112,8,183,0.48
112,8,213,0.566
112,8,243,0.592
112,8,273,0.682
112,8,303,0.737
112,8,333,0.806
112,8,363,0.877
112,8,393,0.975
112,8,423,1.024
112,8,453,1.027
112,8,483,1.079
112,8,513,1.149
112,8,543,1.208
112,8,573,1.271
112,8,603,1.322
112,8,633,1.389
112,8,663,1.44
112,8,693,1.502
112,8,723,1.606
112,8,753,1.643
112,8,783,1.683
112,8,813,1.751
112,8,843,1.806
112,8,873,1.883
112,8,903,1.922
112,8,933,1.959
112,8,963,2.015
112,8,993,2.091
112,8,1023,2.165
112,7,3,0.047
112,7,33,0.138
112,7,63,0.199
112,7,93,0.26
112,7,123,0.333
112,7,153,0.404
112,7,183,0.47
112,7,213,0.535
112,7,243,0.62
112,7,273,0.687
112,7,303,0.762
112,7,333,0.811
112,7,363,0.915
112,7,393,0.984
112,7,423,1.027
112,7,453,1.111
112,7,483,1.187
112,7,513,1.256
112,7,543,1.311
112,7,573,1.402
112,7,603,1.45
112,7,633,1.517
112,7,663,1.577
112,7,693,1.64
112,7,723,1.72
112,7,753,1.768
112,7,783,1.807
112,7,813,1.884
112,7,843,1.966
112,7,873,2.039
112,7,903,2.106
112,7,933,2.153
112,7,963,2.209
112,7,993,2.287
112,7,1023,2.342
112,6,3,0.054
112,6,33,0.148
112,6,63,0.213
112,6,93,0.289
112,6,123,0.362
112,6,153,0.446
112,6,183,0.502
112,6,213,0.592
112,6,243,0.673
112,6,273,0.756
112,6,303,0.843
112,6,333,0.929
112,6,363,1.002
112,6,393,1.087
112,6,423,1.141
112,6,453,1.232
112,6,483,1.295
112,6,513,1.385
112,6,543,1.462
112,6,573,1.549
112,6,603,1.592
112,6,633,1.68
112,6,663,1.731
112,6,693,1.792
112,6,723,1.88
112,6,753,1.961
112,6,783,2.029
112,6,813,2.122
112,6,843,2.193
112,6,873,2.231
112,6,903,2.341
112,6,933,2.375
112,6,963,2.418
112,6,993,2.503
112,6,1023,2.572
112,1,3,0.043
112,1,33,0.074
112,1,63,0.104
112,1,93,0.116
112,1,123,0.132
112,1,153,0.153
112,1,183,0.17
112,1,213,0.206
112,1,243,0.233
112,1,273,0.255
112,1,303,0.317
112,1,333,0.353
112,1,363,0.396
112,1,393,0.428
112,1,423,0.478
112,1,453,0.498
112,1,483,0.524
112,1,513,0.578
112,1,543,0.599
112,1,573,0.629
112,1,603,0.668
112,1,633,0.687
112,1,663,0.719
112,1,693,0.765
112,1,723,0.788
112,1,753,0.819
112,1,783,0.858
112,1,813,0.891
112,1,843,0.913
112,1,873,0.939
112,1,903,0.977
112,1,933,1.02
112,1,963,1.034
112,1,993,1.06
112,1,1023,1.092
56,56,3,0.057
56,56,33,0.112
56,56,63,0.178
56,56,93,0.224
56,56,123,0.323
56,56,153,0.38
56,56,183,0.422
56,56,213,0.466
56,56,243,0.528
56,56,273,0.575
56,56,303,0.621
56,56,333,0.668
56,56,363,0.736
56,56,393,0.794
56,56,423,0.839
56,56,453,0.892
56,56,483,0.961
56,56,513,1.029
56,56,543,1.065
56,56,573,1.13
56,56,603,1.187
56,56,633,1.248
56,56,663,1.298
56,56,693,0.958
56,56,723,1.291
56,56,753,1.345
56,56,783,1.393
56,56,813,1.443
56,56,843,1.518
56,56,873,1.567
56,56,903,1.601
56,56,933,1.652
56,56,963,1.727
56,56,993,1.885
56,56,1023,1.826
56,32,3,0.034
56,32,33,0.122
56,32,63,0.197
56,32,93,0.21
56,32,123,0.22
56,32,153,0.284
56,32,183,0.321
56,32,213,0.372
56,32,243,0.391
56,32,273,0.396
56,32,303,0.465
56,32,333,0.489
56,32,363,0.546
56,32,393,0.58
56,32,423,0.653
56,32,453,0.687
56,32,483,0.706
56,32,513,0.754
56,32,543,0.831
56,32,573,0.86
56,32,603,0.901
56,32,633,0.975
56,32,663,0.991
56,32,693,0.938
56,32,723,0.976
56,32,753,1.001
56,32,783,1.037
56,32,813,1.084
56,32,843,1.118
56,32,873,1.173
56,32,903,1.213
56,32,933,1.22
56,32,963,1.27
56,32,993,1.34
56,32,1023,1.345
56,28,3,0.041
56,28,33,0.121
56,28,63,0.152
56,28,93,0.162
56,28,123,0.205
56,28,153,0.18
56,28,183,0.237
56,28,213,0.282
56,28,243,0.309
56,28,273,0.299
56,28,303,0.308
56,28,333,0.396
56,28,363,0.337
56,28,393,0.382
56,28,423,0.453
56,28,453,0.413
56,28,483,0.426
56,28,513,0.6
56,28,543,0.499
56,28,573,0.536
56,28,603,0.582
56,28,633,0.611
56,28,663,0.605
56,28,693,0.54
56,28,723,0.555
56,28,753,0.573
56,28,783,0.612
56,28,813,0.618
56,28,843,0.639
56,28,873,0.664
56,28,903,0.693
56,28,933,0.7
56,28,963,0.727
56,28,993,0.754
56,28,1023,0.787
56,27,3,0.04
56,27,33,0.153
56,27,63,0.205
56,27,93,0.22
56,27,123,0.238
56,27,153,0.259
56,27,183,0.409
56,27,213,0.307
56,27,243,0.436
56,27,273,0.42
56,27,303,0.505
56,27,333,0.444
56,27,363,0.486
56,27,393,0.622
56,27,423,0.585
56,27,453,0.616
56,27,483,0.659
56,27,513,0.638
56,27,543,0.787
56,27,573,0.786
56,27,603,0.863
56,27,633,0.966
56,27,663,0.934
56,27,693,0.875
56,27,723,0.905
56,27,753,0.965
56,27,783,0.974
56,27,813,1.018
56,27,843,1.062
56,27,873,1.093
56,27,903,1.134
56,27,933,1.155
56,27,963,1.21
56,27,993,1.243
56,27,1023,1.288
56,14,3,0.038
56,14,33,0.078
56,14,63,0.136
56,14,93,0.146
56,14,123,0.214
56,14,153,0.198
56,14,183,0.217
56,14,213,0.215
56,14,243,0.308
56,14,273,0.257
56,14,303,0.304
56,14,333,0.358
56,14,363,0.27
56,14,393,0.411
56,14,423,0.326
56,14,453,0.369
56,14,483,0.368
56,14,513,0.396
56,14,543,0.371
56,14,573,0.385
56,14,603,0.467
56,14,633,0.443
56,14,663,0.501
56,14,693,0.412
56,14,723,0.399
56,14,753,0.416
56,14,783,0.42
56,14,813,0.432
56,14,843,0.44
56,14,873,0.472
56,14,903,0.492
56,14,933,0.489
56,14,963,0.509
56,14,993,0.504
56,14,1023,0.532
56,13,3,0.032
56,13,33,0.086
56,13,63,0.171
56,13,93,0.167
56,13,123,0.246
56,13,153,0.298
56,13,183,0.26
56,13,213,0.264
56,13,243,0.335
56,13,273,0.294
56,13,303,0.369
56,13,333,0.318
56,13,363,0.391
56,13,393,0.357
56,13,423,0.458
56,13,453,0.475
56,13,483,0.469
56,13,513,0.448
56,13,543,0.562
56,13,573,0.493
56,13,603,0.501
56,13,633,0.557
56,13,663,0.588
56,13,693,0.485
56,13,723,0.497
56,13,753,0.525
56,13,783,0.532
56,13,813,0.612
56,13,843,0.583
56,13,873,0.628
56,13,903,0.656
56,13,933,0.658
56,13,963,0.682
56,13,993,0.67
56,13,1023,0.737
56,8,3,0.032
56,8,33,0.079
56,8,63,0.085
56,8,93,0.099
56,8,123,0.118
56,8,153,0.196
56,8,183,0.287
56,8,213,0.324
56,8,243,0.294
56,8,273,0.335
56,8,303,0.289
56,8,333,0.354
56,8,363,0.439
56,8,393,0.368
56,8,423,0.408
56,8,453,0.378
56,8,483,0.416
56,8,513,0.399
56,8,543,0.445
56,8,573,0.488
56,8,603,0.527
56,8,633,0.49
56,8,663,0.548
56,8,693,0.354
56,8,723,0.36
56,8,753,0.374
56,8,783,0.39
56,8,813,0.404
56,8,843,0.415
56,8,873,0.425
56,8,903,0.441
56,8,933,0.457
56,8,963,0.473
56,8,993,0.495
56,8,1023,0.503
56,7,3,0.029
56,7,33,0.085
56,7,63,0.086
56,7,93,0.1
56,7,123,0.113
56,7,153,0.122
56,7,183,0.213
56,7,213,0.227
56,7,243,0.244
56,7,273,0.277
56,7,303,0.283
56,7,333,0.334
56,7,363,0.303
56,7,393,0.362
56,7,423,0.369
56,7,453,0.397
56,7,483,0.474
56,7,513,0.395
56,7,543,0.422
56,7,573,0.505
56,7,603,0.485
56,7,633,0.479
56,7,663,0.484
56,7,693,0.367
56,7,723,0.36
56,7,753,0.386
56,7,783,0.394
56,7,813,0.408
56,7,843,0.437
56,7,873,0.439
56,7,903,0.444
56,7,933,0.473
56,7,963,0.481
56,7,993,0.494
56,7,1023,0.5
56,6,3,0.034
56,6,33,0.076
56,6,63,0.102
56,6,93,0.107
56,6,123,0.128
56,6,153,0.153
56,6,183,0.16
56,6,213,0.181
56,6,243,0.26
56,6,273,0.353
56,6,303,0.326
56,6,333,0.346
56,6,363,0.371
56,6,393,0.407
56,6,423,0.404
56,6,453,0.405
56,6,483,0.408
56,6,513,0.446
56,6,543,0.457
56,6,573,0.469
56,6,603,0.501
56,6,633,0.505
56,6,663,0.55
56,6,693,0.436
56,6,723,0.452
56,6,753,0.473
56,6,783,0.487
56,6,813,0.504
56,6,843,0.528
56,6,873,0.538
56,6,903,0.549
56,6,933,0.579
56,6,963,0.593
56,6,993,0.614
56,6,1023,0.628
56,1,3,0.007
56,1,33,0.052
56,1,63,0.059
56,1,93,0.065
56,1,123,0.07
56,1,153,0.081
56,1,183,0.096
56,1,213,0.107
56,1,243,0.106
56,1,273,0.108
56,1,303,0.11
56,1,333,0.117
56,1,363,0.123
56,1,393,0.127
56,1,423,0.129
56,1,453,0.132
56,1,483,0.134
56,1,513,0.14
56,1,543,0.138
56,1,573,0.139
56,1,603,0.144
56,1,633,0.154
56,1,663,0.158
56,1,693,0.157
56,1,723,0.167
56,1,753,0.187
56,1,783,0.247
56,1,813,0.184
56,1,843,0.186
56,1,873,0.198
56,1,903,0.207
56,1,933,0.215
56,1,963,0.227
56,1,993,0.239
56,1,1023,0.282
32,32,3,0.035
32,32,33,0.063
32,32,63,0.09
32,32,93,0.127
32,32,123,0.123
32,32,153,0.143
32,32,183,0.168
32,32,213,0.185
32,32,243,0.196
32,32,273,0.223
32,32,303,0.23
32,32,333,0.242
32,32,363,0.259
32,32,393,0.318
32,32,423,0.336
32,32,453,0.35
32,32,483,0.367
32,32,513,0.398
32,32,543,0.404
32,32,573,0.434
32,32,603,0.445
32,32,633,0.462
32,32,663,0.481
32,32,693,0.491
32,32,723,0.515
32,32,753,0.537
32,32,783,0.549
32,32,813,0.567
32,32,843,0.581
32,32,873,0.596
32,32,903,0.606
32,32,933,0.638
32,32,963,0.658
32,32,993,0.696
32,32,1023,0.677
32,28,3,0.033
32,28,33,0.057
32,28,63,0.086
32,28,93,0.138
32,28,123,0.135
32,28,153,0.163
32,28,183,0.16
32,28,213,0.181
