HW,kernel,stride,Cin,FLOPs,latency
112,1,2,512,1676927232,5.692
112,1,2,1024,6701171200,12.084
112,1,4,3,19837.5,0.023
112,1,4,6,69431.25,0.038
112,1,4,8,119025,0.05
112,1,4,16,449650,0.154
112,1,4,32,1745700,0.297
112,1,4,64,6877000,0.503
112,1,4,128,27296400,0.929
112,1,4,256,108762400,1.531
112,1,4,512,434203200,4.014
112,1,4,1024,1735120000,8.504
112,3,1,3,887112,0.082
112,3,1,6,2217780,0.122
112,3,1,8,3351312,0.164
112,3,1,16,9856800,0.262
112,3,1,32,32330304,0.541
112,3,1,64,115127424,0.766
112,3,1,128,432122112,1.204
112,3,1,256,1671713280,1.404
112,3,1,512,6573302784,3.424
112,3,1,1024,26066110464,6.908
112,3,2,3,225792,0.295
112,3,2,6,564480,0.452
112,3,2,8,852992,0.602
112,3,2,16,2508800,1.128
112,3,2,32,8228864,2.306
112,3,2,64,29302784,4.837
112,3,2,128,109985792,9.481
112,3,2,256,425492480,18.987
112,3,2,512,1673068544,32.897
112,3,2,1024,6634471424,56.949
112,3,4,3,58482,0.123
112,3,4,6,146205,0.23
112,3,4,8,220932,0.319
112,3,4,16,649800,0.594
112,3,4,32,2131344,1.262
112,3,4,64,7589664,2.729
112,3,4,128,28487232,5.563
112,3,4,256,110206080,12.307
112,3,4,512,433338624,20.873
112,3,4,1024,1718383104,39.346
112,5,1,3,2032800,1.055
112,5,1,6,4501200,2.254
112,5,1,8,6388800,2.977
112,5,1,16,15875200,5.775
112,5,1,32,44140800,10.549
112,5,1,64,137843200,20.231
112,5,1,128,473932800,36.42
112,5,1,256,1740851200,66.321
112,5,1,512,6653644800,155.591
112,5,1,1024,25995059200,292.283
112,5,2,3,517482,0.377
112,5,2,6,1145853,0.562
112,5,2,8,1626372,0.885
112,5,2,16,4041288,1.591
112,5,2,32,11236752,3.126
112,5,2,64,35090208,6.369
112,5,2,128,120647232,12.019
112,5,2,256,443161728,22.786
112,5,2,512,1693792512,42.815
112,5,2,1024,6617461248,78.855
112,5,4,3,134074.5,0.214
112,5,4,6,296879.25,0.378
112,5,4,8,421377,0.473
112,5,4,16,1047058,0.966
112,5,4,32,2911332,1.965
112,5,4,64,9091528,3.941
112,5,4,128,31258512,7.866
112,5,4,256,114818848,14.987
112,5,4,512,438844992,27.744
112,5,4,1024,1714519168,53.061
112,7,1,3,3706872,1.867
112,7,1,6,7841460,3.738
112,7,1,8,10835472,4.614
112,7,1,16,24712480,8.827
112,7,1,32,61591104,16.16
112,7,1,64,171846784,29.001
112,7,1,128,538351872,47.979
112,7,1,256,1855336960,94.856
112,7,1,512,6825206784,229.739
112,7,1,1024,26108545024,456.751
112,7,2,3,943800,0.592
112,7,2,6,1996500,1.076
112,7,2,8,2758800,1.356
112,7,2,16,6292000,2.587
112,7,2,32,15681600,5.25
112,7,2,64,43753600,10.105
112,7,2,128,137068800,19.967
112,7,2,256,472384000,38.404
112,7,2,512,1737753600,73.012
112,7,2,1024,6647449600,141.53
112,7,4,3,244608,0.203
112,7,4,6,517440,0.447
112,7,4,8,715008,0.577
112,7,4,16,1630720,1.141
112,7,4,32,4064256,2.404
112,7,4,64,11339776,4.94
112,7,4,128,35524608,10.056
112,7,4,256,122429440,18.808
112,7,4,512,450379776,34.06
112,7,4,1024,1722843136,62.43
112,9,1,3,5878656,2.63
112,9,1,6,12177216,3.963
112,9,1,8,16609536,6.416
112,9,1,16,36205056,11.939
112,9,1,32,84354048,23.456
112,9,1,64,216483840,43.134
112,9,1,128,624070656,72.189
112,9,1,256,2012553216,124.703
112,9,1,512,7082754048,342.77
112,9,1,1024,26396098560,575.597
112,9,2,3,1497006,0.746
112,9,2,6,3100941,1.384
112,9,2,8,4229636,1.801
112,9,2,16,9219656,3.461
112,9,2,32,21480848,6.922
112,9,2,64,55127840,13.761
112,9,2,128,158920256,26.817
112,9,2,256,512498816,53.406
112,9,2,512,1803630848,105.644
112,9,2,1024,6721794560,209.228
112,9,4,3,388111.5,0.315
112,9,4,6,803945.25,0.575
112,9,4,8,1096569,0.759
112,9,4,16,2390274,1.409
112,9,4,32,5569092,3.011
112,9,4,64,14292360,5.662
112,9,4,128,41201424,11.353
112,9,4,256,132869664,20.713
112,9,4,512,467606592,39.778
112,9,4,1024,1742682240,75.146
