HW,kernel,stride,Cin,latency
112,7,4,3,0.129
112,7,4,53,1.267
112,7,4,103,2.358
112,7,4,153,3.538
112,7,4,203,4.588
112,7,4,253,5.685
112,7,4,303,6.717
112,7,4,353,7.656
112,7,4,403,8.699
112,7,4,453,9.805
112,7,4,503,10.891
112,7,4,553,11.886
112,7,4,603,12.876
112,7,4,653,13.97
112,7,4,703,14.983
112,7,4,753,15.919
112,7,4,803,16.933
112,7,4,853,17.486
112,7,4,903,18.437
112,7,4,953,19.417
112,7,4,1003,19.902
112,9,1,3,1.989
112,9,1,53,31.083
112,9,1,103,59.96
112,9,1,153,88.575
112,9,1,203,117.805
112,9,1,253,146.058
112,9,1,303,170.065
112,9,1,353,202.219
112,9,1,403,248.19
112,9,1,453,305.455
112,9,1,503,291.644
112,9,1,553,316.971
112,9,1,603,341.947
112,9,1,653,371.863
112,9,1,703,397.297
112,9,1,753,428.251
112,9,1,803,456.104
112,9,1,853,481.649
112,9,1,903,510.53
112,9,1,953,539.652
112,9,1,1003,571.081
112,9,2,3,0.571
112,9,2,53,8.794
112,9,2,103,18.2
112,9,2,153,25.283
112,9,2,203,30.118
112,9,2,253,37.423
112,9,2,303,44.699
112,9,2,353,50.657
112,9,2,403,58.466
112,9,2,453,65.327
112,9,2,503,72.187
112,9,2,553,78.97
112,9,2,603,87.386
112,9,2,653,94.121
112,9,2,703,98.071
112,9,2,753,108.334
112,9,2,803,115.682
112,9,2,853,123.031
112,9,2,903,129.291
112,9,2,953,135.259
112,9,2,1003,141.983
112,9,4,3,0.178
112,9,4,53,2.206
112,9,4,103,4.116
112,9,4,153,6.056
112,9,4,203,7.904
112,9,4,253,9.866
112,9,4,303,11.744
112,9,4,353,13.751
112,9,4,403,15.351
112,9,4,453,16.796
112,9,4,503,18.628
112,9,4,553,19.97
112,9,4,603,21.914
112,9,4,653,24.189
112,9,4,703,26.178
112,9,4,753,27.508
112,9,4,803,28.873
112,9,4,853,31.809
112,9,4,903,32.32
112,9,4,953,34.725
112,9,4,1003,39.078
56,1,1,3,0.072
56,1,1,53,0.292
56,1,1,103,0.535
56,1,1,153,0.774
56,1,1,203,1.109
56,1,1,253,1.305
56,1,1,303,1.53
56,1,1,353,1.561
56,1,1,403,1.817
56,1,1,453,1.961
56,1,1,503,2.302
56,1,1,553,2.49
56,1,1,603,2.618
56,1,1,653,3.181
56,1,1,703,3.174
56,1,1,753,4.393
56,1,1,803,4.365
56,1,1,853,3.892
56,1,1,903,4.133
56,1,1,953,4.461
56,1,1,1003,4.883
56,1,2,3,0.032
56,1,2,53,0.179
56,1,2,103,0.333
56,1,2,153,0.431
56,1,2,203,0.38
56,1,2,253,0.52
56,1,2,303,0.636
56,1,2,353,0.675
56,1,2,403,0.998
56,1,2,453,0.855
56,1,2,503,0.764
56,1,2,553,0.957
56,1,2,603,1.039
56,1,2,653,0.969
56,1,2,703,1.028
56,1,2,753,1.077
56,1,2,803,1.154
56,1,2,853,1.273
56,1,2,903,1.307
56,1,2,953,1.324
56,1,2,1003,1.426
56,1,4,3,0.046
56,1,4,53,0.111
56,1,4,103,0.154
56,1,4,153,0.305
56,1,4,203,0.259
56,1,4,253,0.283
56,1,4,303,0.319
56,1,4,353,0.332
56,1,4,403,0.433
56,1,4,453,0.405
56,1,4,503,0.353
56,1,4,553,0.348
56,1,4,603,0.498
