HW,kernel,stride,Cin,Cout,FLOPs,latency
224,3,1,3,64,173408256,0.352
224,3,1,3,128,346816512,0.563
224,3,1,3,256,693633024,0.992
224,3,1,3,512,1387266048,1.785
224,3,1,3,1024,2774532096,3.056
224,3,1,32,3,86704128,0.301
224,3,1,32,32,924844032,0.348
224,3,1,32,64,1849688064,0.606
224,3,1,32,128,3699376128,1.612
224,3,1,32,256,7398752256,3.057
224,3,1,32,512,14797504512,5.949
224,3,1,32,1024,29595009024,8.83
224,3,1,64,3,173408256,0.422
224,3,1,64,32,1849688064,0.596
224,3,1,64,64,3699376128,1.291
224,3,1,64,128,7398752256,2.431
224,3,1,64,256,14797504512,4.685
224,3,1,64,512,29595009024,9.061
224,3,1,64,1024,59190018048,14.03
224,3,1,128,3,346816512,0.89
224,3,1,128,32,3699376128,1.173
224,3,1,128,64,7398752256,2.158
224,3,1,128,128,14797504512,4.079
224,3,1,128,256,29595009024,7.883
224,3,1,128,512,59190018048,15.343
224,3,1,128,1024,1.18E+11,25.085
224,3,1,256,3,693633024,1.871
224,3,1,256,32,7398752256,2.03
224,3,1,256,64,14797504512,3.767
224,3,1,256,128,29595009024,7.264
224,3,1,256,256,59190018048,14.165
224,3,1,256,512,1.18E+11,27.755
224,3,1,256,1024,2.37E+11,38.867
224,3,1,512,3,1387266048,3.445
224,3,1,512,32,14797504512,3.639
224,3,1,512,64,29595009024,6.95
224,3,1,512,128,59190018048,13.639
224,3,1,512,256,1.18E+11,26.716
224,3,1,512,512,2.37E+11,52.621
224,3,1,512,1024,4.74E+11,76.744
224,3,1,1024,3,2774532096,6.681
224,3,1,1024,32,29595009024,6.863
224,3,1,1024,64,59190018048,13.321
224,3,1,1024,128,1.18E+11,26.352
224,3,1,1024,256,2.37E+11,51.781
224,3,1,1024,512,4.74E+11,71.479
224,3,1,1024,1024,9.47E+11,160.634
224,3,2,3,3,2032128,0.171
224,3,2,3,32,21676032,0.166
224,3,2,3,64,43352064,0.18
224,3,2,3,128,86704128,0.211
224,3,2,3,256,173408256,0.292
224,3,2,3,512,346816512,0.482
224,3,2,3,1024,693633024,0.843
224,3,2,32,3,21676032,0.183
224,3,2,32,32,231211008,0.195
224,3,2,32,64,462422016,0.354
224,3,2,32,128,924844032,0.549
224,3,2,32,256,1849688064,0.95
224,3,2,32,512,3699376128,1.75
224,3,2,32,1024,7398752256,3.349
224,3,2,64,3,43352064,0.408
224,3,2,64,32,462422016,0.434
224,3,2,64,64,924844032,0.598
224,3,2,64,128,1849688064,0.902
224,3,2,64,256,3699376128,1.628
224,3,2,64,512,7398752256,3.068
224,3,2,64,1024,14797504512,5.972
224,3,2,128,3,86704128,0.719
224,3,2,128,32,924844032,0.782
224,3,2,128,64,1849688064,1.063
224,3,2,128,128,3699376128,1.638
224,3,2,128,256,7398752256,3.015
224,3,2,128,512,14797504512,5.764
224,3,2,128,1024,29595009024,11.27
224,3,2,256,3,173408256,1.764
224,3,2,256,32,1849688064,1.978
224,3,2,256,64,3699376128,1.905
224,3,2,256,128,7398752256,3.026
224,3,2,256,256,14797504512,5.686
224,3,2,256,512,29595009024,11.053
224,3,2,256,1024,59190018048,21.759
224,3,2,512,3,346816512,3.336
224,3,2,512,32,3699376128,3.756
224,3,2,512,64,7398752256,3.526
224,3,2,512,128,14797504512,5.686
224,3,2,512,256,29595009024,10.989
224,3,2,512,512,59190018048,21.568
224,3,2,512,1024,1.18E+11,42.691
224,3,2,1024,3,693633024,6.461
224,3,2,1024,32,7398752256,7.299
224,3,2,1024,64,14797504512,6.732
224,3,2,1024,128,29595009024,11.026
224,3,2,1024,256,59190018048,21.554
224,3,2,1024,512,1.18E+11,42.545
224,3,2,1024,1024,2.37E+11,69.213
224,3,4,3,3,508032,0.165
224,3,4,3,32,5419008,0.172
224,3,4,3,64,10838016,0.161
224,3,4,3,128,21676032,0.16
224,3,4,3,256,43352064,0.187
224,3,4,3,512,86704128,0.256
224,3,4,3,1024,173408256,0.373
224,3,4,32,3,5419008,0.219
224,3,4,32,32,57802752,0.227
224,3,4,32,64,115605504,0.236
224,3,4,32,128,231211008,0.294
224,3,4,32,256,462422016,0.383
224,3,4,32,512,924844032,0.571
224,3,4,32,1024,1849688064,0.987
224,3,4,64,3,10838016,0.337
224,3,4,64,32,115605504,0.327
224,3,4,64,64,231211008,0.338
224,3,4,64,128,462422016,0.447
224,3,4,64,256,924844032,0.612
224,3,4,64,512,1849688064,0.943
224,3,4,64,1024,3699376128,1.713
224,3,4,128,3,21676032,0.568
224,3,4,128,32,231211008,0.573
224,3,4,128,64,462422016,0.573
224,3,4,128,128,924844032,0.786
224,3,4,128,256,1849688064,1.082
224,3,4,128,512,3699376128,1.702
224,3,4,128,1024,7398752256,3.15
224,3,4,256,3,43352064,0.733
224,3,4,256,32,462422016,0.769
224,3,4,256,64,924844032,0.972
224,3,4,256,128,1849688064,1.385
224,3,4,256,256,3699376128,1.937
224,3,4,256,512,7398752256,3.145
224,3,4,256,1024,14797504512,5.98
224,3,4,512,3,86704128,1.291
224,3,4,512,32,924844032,1.345
224,3,4,512,64,1849688064,1.677
224,3,4,512,128,3699376128,2.502
224,3,4,512,256,7398752256,3.609
224,3,4,512,512,14797504512,5.965
224,3,4,512,1024,29595009024,11.526
224,3,4,1024,3,173408256,2.373
224,3,4,1024,32,1849688064,2.473
224,3,4,1024,64,3699376128,3.062
224,3,4,1024,128,7398752256,4.706
224,3,4,1024,256,14797504512,6.903
224,3,4,1024,512,29595009024,11.587
224,3,4,1024,1024,59190018048,22.656
224,5,1,3,3,22579200,0.267
224,5,1,3,32,240844800,0.321
224,5,1,3,64,481689600,0.455
224,5,1,3,128,963379200,0.781
224,5,1,3,256,1926758400,1.408
224,5,1,3,512,3853516800,2.513
224,5,1,3,1024,7707033600,3.856
224,5,1,32,3,240844800,0.967
224,5,1,32,32,2569011200,1.167
224,5,1,32,64,5138022400,1.53
224,5,1,32,128,10276044800,4.722
224,5,1,32,256,20552089600,8.069
224,5,1,32,512,41104179200,10.368
224,5,1,32,1024,82208358400,21.423
224,5,1,64,3,481689600,1.007
224,5,1,64,32,5138022400,2.011
224,5,1,64,64,10276044800,4.831
224,5,1,64,128,20552089600,9.327
224,5,1,64,256,41104179200,13.917
224,5,1,64,512,82208358400,20.398
224,5,1,64,1024,1.64E+11,36.988
224,5,1,128,3,963379200,2.492
224,5,1,128,32,10276044800,5.144
224,5,1,128,64,20552089600,9.03
224,5,1,128,128,41104179200,17.581
224,5,1,128,256,82208358400,25.907
