HW,kernel,stride,Cin,latency
224,7,4,3,0.053
224,7,4,53,0.154
224,7,4,103,0.255
224,7,4,153,0.358
224,7,4,203,0.455
224,7,4,253,0.551
224,7,4,303,0.648
224,7,4,353,0.743
224,7,4,403,0.832
224,7,4,453,0.927
224,7,4,503,1.018
224,7,4,553,1.112
224,7,4,603,1.206
224,7,4,653,1.3
224,7,4,703,1.394
224,7,4,753,1.486
224,7,4,803,1.576
224,7,4,853,1.666
224,7,4,903,1.757
224,7,4,953,1.85
224,7,4,1003,1.941
224,9,1,3,0.153
224,9,1,53,1.973
224,9,1,103,3.799
224,9,1,153,5.592
224,9,1,203,7.397
224,9,1,253,9.201
224,9,1,303,10.987
224,9,1,353,12.783
224,9,1,403,14.585
224,9,1,453,16.384
224,9,1,503,18.19
224,9,1,553,19.978
224,9,1,603,21.778
224,9,1,653,23.58
224,9,1,703,25.372
224,9,1,753,27.169
224,9,1,803,28.967
224,9,1,853,30.765
224,9,1,903,32.562
224,9,1,953,34.36
224,9,1,1003,36.159
224,9,2,3,0.072
224,9,2,53,0.546
224,9,2,103,1.019
224,9,2,153,1.496
224,9,2,203,1.966
224,9,2,253,2.433
224,9,2,303,2.894
224,9,2,353,3.358
224,9,2,403,3.821
224,9,2,453,4.283
224,9,2,503,4.747
224,9,2,553,5.211
224,9,2,603,5.671
224,9,2,653,6.137
224,9,2,703,6.598
224,9,2,753,7.054
224,9,2,803,7.522
224,9,2,853,7.984
224,9,2,903,8.445
224,9,2,953,8.909
224,9,2,1003,9.373
224,9,4,3,0.061
224,9,4,53,0.226
224,9,4,103,0.399
224,9,4,153,0.554
224,9,4,203,0.704
224,9,4,253,0.849
224,9,4,303,0.99
224,9,4,353,1.141
224,9,4,403,1.297
224,9,4,453,1.436
224,9,4,503,1.586
224,9,4,553,1.737
224,9,4,603,1.884
224,9,4,653,2.03
224,9,4,703,2.176
224,9,4,753,2.324
224,9,4,803,2.473
224,9,4,853,2.617
224,9,4,903,2.766
224,9,4,953,2.912
224,9,4,1003,3.06
112,1,1,3,0.042
112,1,1,53,0.111
112,1,1,103,0.179
112,1,1,153,0.247
112,1,1,203,0.32
112,1,1,253,0.389
112,1,1,303,0.461
112,1,1,353,0.533
112,1,1,403,0.603
112,1,1,453,0.675
112,1,1,503,0.74
112,1,1,553,0.809
112,1,1,603,0.879
112,1,1,653,0.945
112,1,1,703,1.012
112,1,1,753,1.08
112,1,1,803,1.146
112,1,1,853,1.212
112,1,1,903,1.28
112,1,1,953,1.347
