HW,output,Cin,latency
224,7,993,4.425
224,7,1023,4.596
224,6,3,0.12
224,6,33,0.152
224,6,63,0.266
224,6,93,0.357
224,6,123,0.456
224,6,153,0.491
224,6,183,0.685
224,6,213,0.701
224,6,243,0.782
224,6,273,0.8
224,6,303,0.892
224,6,333,0.99
224,6,363,1.074
224,6,393,1.101
224,6,423,1.195
224,6,453,1.28
224,6,483,1.36
224,6,513,1.386
224,6,543,1.489
224,6,573,1.582
224,6,603,1.648
224,6,633,1.68
224,6,663,1.773
224,6,693,1.876
224,6,723,1.948
224,6,753,1.979
224,6,783,2.068
224,6,813,2.163
224,6,843,2.245
224,6,873,2.275
224,6,903,2.367
224,6,933,2.452
224,6,963,2.527
224,6,993,2.561
224,6,1023,2.661
224,1,3,0.174
224,1,33,0.081
224,1,63,0.123
224,1,93,0.178
224,1,123,0.203
224,1,153,0.226
224,1,183,0.261
224,1,213,0.286
224,1,243,0.326
224,1,273,0.332
224,1,303,0.351
224,1,333,0.389
224,1,363,0.404
224,1,393,0.421
224,1,423,0.449
224,1,453,0.469
224,1,483,0.501
224,1,513,0.515
224,1,543,0.536
224,1,573,0.569
224,1,603,0.584
224,1,633,0.6
224,1,663,0.625
224,1,693,0.644
224,1,723,0.676
224,1,753,0.694
224,1,783,0.712
224,1,813,0.744
224,1,843,0.757
224,1,873,0.777
224,1,903,0.805
224,1,933,0.827
224,1,963,0.849
224,1,993,0.871
224,1,1023,0.892
112,56,3,0.049
112,56,33,0.089
112,56,63,0.096
112,56,93,0.113
112,56,123,0.131
112,56,153,0.135
112,56,183,0.17
112,56,213,0.186
112,56,243,0.205
112,56,273,0.212
112,56,303,0.232
112,56,333,0.262
112,56,363,0.279
112,56,393,0.284
112,56,423,0.305
112,56,453,0.324
112,56,483,0.344
112,56,513,0.351
112,56,543,0.368
112,56,573,0.387
112,56,603,0.404
112,56,633,0.407
112,56,663,0.426
112,56,693,0.447
112,56,723,0.461
112,56,753,0.468
112,56,783,0.49
112,56,813,0.506
112,56,843,0.521
112,56,873,0.526
112,56,903,0.542
112,56,933,0.566
112,56,963,0.578
112,56,993,0.585
112,56,1023,0.602
112,32,3,0.042
112,32,33,0.07
112,32,63,0.073
112,32,93,0.084
112,32,123,0.09
112,32,153,0.092
112,32,183,0.117
112,32,213,0.127
112,32,243,0.135
112,32,273,0.143
112,32,303,0.153
112,32,333,0.177
112,32,363,0.185
112,32,393,0.193
112,32,423,0.201
112,32,453,0.211
112,32,483,0.232
112,32,513,0.235
112,32,543,0.244
112,32,573,0.249
112,32,603,0.256
112,32,633,0.263
112,32,663,0.279
112,32,693,0.284
112,32,723,0.294
112,32,753,0.298
112,32,783,0.308
112,32,813,0.323
112,32,843,0.327
112,32,873,0.332
112,32,903,0.339
112,32,933,0.356
112,32,963,0.363
112,32,993,0.365
112,32,1023,0.373
112,28,3,0.048
112,28,33,0.068
112,28,63,0.073
112,28,93,0.081
